,center,gridID,num_establishments,num_liquor_stores,num_restaurants,num_stores,num_bars
61,"[40.58270515366833, -73.85666436277]",39157,0,0,0,0,0
62,"[40.58126700435262, -73.85855797040624]",38929,0,0,0,0,0
63,"[40.58414327206371, -73.85855797040624]",38927,0,0,0,0,0
64,"[40.58270515366833, -73.85855797040624]",38928,0,0,0,0,0
65,"[40.58414327206371, -73.86045157804247]",38698,0,0,0,0,0
66,"[40.58270515366833, -73.86045157804247]",38699,0,0,0,0,0
67,"[40.58126700435262, -73.86045157804247]",38700,0,0,0,0,0
68,"[40.58270515366833, -73.86234518567869]",38470,0,0,0,0,0
69,"[40.58126700435262, -73.86234518567869]",38471,0,0,0,0,0
70,"[40.58126700435262, -73.86613240095116]",38013,0,0,0,0,0
71,"[40.58126700435262, -73.86423879331493]",38242,0,0,0,0,0
72,"[40.58270515366833, -73.86613240095116]",38012,0,0,0,0,0
73,"[40.58270515366833, -73.86423879331493]",38241,0,0,0,0,0
74,"[40.58414327206371, -73.86234518567869]",38469,0,0,0,0,0
75,"[40.58414327206371, -73.86613240095116]",38011,0,0,0,0,0
76,"[40.58414327206371, -73.86423879331493]",38240,0,0,0,0,0
77,"[40.585581359538565, -73.86613240095116]",38010,0,0,0,0,0
78,"[40.585581359538565, -73.86423879331493]",38239,0,0,0,0,0
79,"[40.58701941609259, -73.86045157804247]",38696,0,0,0,0,0
80,"[40.585581359538565, -73.86045157804247]",38697,0,0,0,0,0
81,"[40.58701941609259, -73.86234518567869]",38467,0,0,0,0,0
82,"[40.585581359538565, -73.86234518567869]",38468,0,0,0,0,0
83,"[40.58701941609259, -73.86613240095116]",38009,0,0,0,0,0
84,"[40.58701941609259, -73.86423879331493]",38238,0,0,0,0,0
85,"[40.58845744172555, -73.86234518567869]",38466,0,0,0,0,0
86,"[40.58845744172555, -73.86613240095116]",38008,0,0,0,0,0
87,"[40.58845744172555, -73.86423879331493]",38237,0,0,0,0,0
88,"[40.589895436437246, -73.86613240095116]",38007,0,0,0,0,0
89,"[40.589895436437246, -73.86423879331493]",38236,0,0,0,0,0
90,"[40.589895436437246, -73.86234518567869]",38465,0,0,0,0,0
91,"[40.589895436437246, -73.86045157804247]",38694,0,0,0,0,0
92,"[40.58845744172555, -73.86045157804247]",38695,0,0,0,0,0
93,"[40.58845744172555, -73.85855797040624]",38924,0,0,0,0,0
94,"[40.58845744172555, -73.85666436277]",39153,0,0,0,0,0
95,"[40.58701941609259, -73.85666436277]",39154,0,0,0,0,0
96,"[40.58701941609259, -73.85855797040624]",38925,0,0,0,0,0
97,"[40.585581359538565, -73.85666436277]",39155,0,0,0,0,0
98,"[40.585581359538565, -73.85855797040624]",38926,0,0,0,0,0
99,"[40.585581359538565, -73.8547707551338]",39384,0,0,0,0,0
100,"[40.58701941609259, -73.8547707551338]",39383,0,0,0,0,0
101,"[40.58845744172555, -73.8547707551338]",39382,0,0,0,0,0
102,"[40.589895436437246, -73.85287714749757]",39610,0,0,0,0,0
103,"[40.589895436437246, -73.85666436277]",39152,0,0,0,0,0
104,"[40.589895436437246, -73.8547707551338]",39381,0,0,0,0,0
105,"[40.591333400227406, -73.85666436277]",39151,0,0,0,0,0
106,"[40.591333400227406, -73.8547707551338]",39380,0,0,0,0,0
107,"[40.591333400227406, -73.85287714749757]",39609,0,0,0,0,0
108,"[40.5927713330958, -73.85287714749757]",39608,0,0,0,0,0
109,"[40.5927713330958, -73.8547707551338]",39379,0,0,0,0,0
110,"[40.5942092350422, -73.85666436277]",39149,0,0,0,0,0
111,"[40.5927713330958, -73.85666436277]",39150,0,0,0,0,0
112,"[40.5942092350422, -73.8547707551338]",39378,0,0,0,0,0
113,"[40.591333400227406, -73.85855797040624]",38922,0,0,0,0,0
114,"[40.5942092350422, -73.85855797040624]",38920,0,0,0,0,0
115,"[40.5927713330958, -73.85855797040624]",38921,0,0,0,0,0
116,"[40.5942092350422, -73.86045157804247]",38691,0,0,0,0,0
117,"[40.5927713330958, -73.86045157804247]",38692,0,0,0,0,0
118,"[40.591333400227406, -73.86045157804247]",38693,0,0,0,0,0
119,"[40.589895436437246, -73.85855797040624]",38923,0,0,0,0,0
120,"[40.591333400227406, -73.86234518567869]",38464,0,0,0,0,0
